title,brand_name,processor,memory,storage,display,product_price,special_price,emi_price,url
Dell Vostro 14 3400 14 inch Full HD Display Core i5 11th Gen 4GB RAM 1TB HDD Laptop,Dell,"Intel Core i5-1135G7 Processor (8MB Cache, 2.40 GHz up to 4.20 GHz)","4GB, 4Gx1, DDR4 RAM","1TB 5400 rpm 2.5"" SATA Hard Drive(M.2 Slot Available)",14.0-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-touch Narrow Border WVA Display,Not available,Not available,Not available,https://www.techlandbd.com/dell-vostro-14-3400-i5-laptop
DELL XPS 17 9720 17 INCH 4K 60 HZ UHD+ LED DISPLAY INTEL I7 12TH GEN 16GB RAM 1TB SSD LAPTOP WITH NVIDIA RTX 3060 6GB GRAPHICS,Dell,Intel Core i7 12700H 4.60GHz (Core 14- Thread 20),16GB 4800 MHz DDR5,1TB SSD,17 INCH 4K UHD+ LED Display 4K UHD (3840x2400) 60 Hz,Not available,Not available,Not available,https://www.techlandbd.com/dell-xps-17-9720-i7-12700h-laptop
Asus E203MAH 11.6 Inch Celeron Dual Core 4GB RAM 500GB HDD Laptop,Asus,"Intel Celeron N4000 Processor (4M Cache, 1.10 GHz up to 2.60 GHz)",4GB DDR4 2400MHz SDRAM,500GB 5400 rpm SATA HDD,"11.6"" (16:9) LED-backlit HD (1366x768) 60Hz Anti-Glare Panel with 45% NTSC",Not available,Not available,Not available,https://www.techlandbd.com/asus-e203mah-cdc-laptop-price-in-bd
Asus ExpertBook BR1100FK 11.6 inch HD Touch Display Intel Celeron N4500 4GB RAM 256GB SSD 2 in 1 Laptop With Active Pen,Asus,"Intel Celeron N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)","4G 3200MHZ DDR4 onboard,",256GB M.2 NVMe PCIe 3.0 SSD,"Touch screen,",Not available,Not available,Not available,https://www.techlandbd.com/asus-expertbook-br1100fk-2-1-laptop
Asus GL504GM Scar Edition 15.6 inch Narrow Bezel 144hz Core i7 16GB RAM 1tb hdd 128GB SSD Gaming Laptop with GTX 1060 6GB Graphics,Asus,"Intel® Core™ i7-8750H Processor (9M Cache,2.20 GHz up to 4.10 GHz, 6 Cores, 12 Threads)",16GB DDR4,1TB HDD+8GB SSHD & 128GB SSD,"15.6” FHD (1920*1080) High Refresh Rate 144Hz IPS-Type Display with slim 5mm bezel, 3ms response time",Not available,Not available,Not available,https://www.techlandbd.com/asus-gl504gm-scar-edition-i7-gaming-laptop
Asus Pro P1440FA 14-Inch Full HD LED Display Core i3 10th Gen 4GB RAM 1TB HDD Laptop,Asus,10th Gen Intel Core i3 10110U (2.10GHz-4.10GHz),4GB DDR4 (Extra Ram Slot Available),1TB HDD (Extra M.2 NVME SSD Slot Available),14 Inch FHD (1920x1080) LED Display,Not available,Not available,Not available,https://www.techlandbd.com/asus-asuspro-p1440fa-core-i3-laptop
ASUS ROG Flow X13 GV301QH 13.4 inch WUXGA Touch Display Ryzen 7 5800HS 16GB RAM 512GB SSD 2-in-1 Gaming Laptop with GTX 1650 4GB Graphics,Asus,"AMD Ryzen 7 5800HS Processor 3.0 GHz (16M Cache, up to 4.3 GHz)",16 GB LPDDR4X memory,512GB M.2 2230 NVMe PCIe 3.0 SSD,13.4-inch WQUXGA (3840 x 2400) 16:10 glossy display sRGB: 116% Adobe:86%DCI-P3:85% Touch Screen Refresh Rate: 120Hz IPS-level Adaptive-Sync,Not available,Not available,Not available,https://www.techlandbd.com/asus-rog-flow-x13-gv301qh-laptop
Asus VivoBook X540YA 15.6 inch Amd Dual Core 4GB RAM 500GB HDD Laptop,Asus,"E1-6010 AMD Dual Core Processor (1.4 GHz, 2 Cores)",4 GB DDR3 RAM,500 GB SATA HDD,15.6-inch HD LED (1366 x 768 pixels) Display,Not available,Not available,Not available,https://www.techlandbd.com/asus-x540ya-amd-dual-core-laptop
Asus E203MAH 11.6 Inch HD display pentium quad core 4GB ram 500GB hdd laptop -Star Grey,Asus,"Intel® Pentium® Silver N5000 Processor (4M Cache, up to 2.70 GHz)",4GB DDR4 2400MHz SDRAM,500GB 5400 rpm SATA HDD,"11.6"" (16:9) LED-backlit HD (1366x768) 60Hz Anti-Glare Panel with 45% NTSC",Not available,Not available,Not available,https://www.techlandbd.com/asus-e203mah-pqc-4GB-ram-laptop
ASUS TUF FX505DU 15.6 INCH 120Hz IPS AMD Ryzen 7 3750H 16GB Ram 1TB HDD 256GB SSD RGB BACKLIT KEYBOARD GAMING LAPTOP WITH GTX 1660TI 6GB GRAPHICS,Asus,AMD Ryzen 7 3750H Processor (2.30 GHz),16GB DDR4 2666MHz SDRAM,1TB HDD & 256GB SSD,"15.6"" (16:9) LED-backlit FHD (1920x1080) Anti-Glare, Ultrafast 120Hz IPS panel for supersmooth gameplay with minimal motion blur. Wide-view technology ensures consistent colors when you’re looking at the screen from extreme angles.",Not available,Not available,Not available,https://www.techlandbd.com/asus-fx505du-laptop-price-in-bd
Asus VivoBook 15 M515DA 15.6 inch Full HD Display Ryzen 5 3500U 8GB RAM 512GB SSD Laptop,Asus,"AMD Ryzen 5 3500UProcessor 2.1 GHz (4M Cache, up to 3.7 GHz, 4 cores)",8GB DDR4 onboard,512GB M.2 NVMe PCIe 3.0 SSD,"(39.62cm)15.6-inch,FHD (1920 x 1080) 16:9,Anti-glare display,NTSC: 45%,Screen-to-body ratio: 83 %",Not available,Not available,Not available,https://www.techlandbd.com/asus-vivobook-15-m515da-ryzen-5-laptop
ASUS VivoBook S14 S433FA 14 inch Core i5 10th Gen 8GB RAM 512GB SSD LAPTOP (DREAMY WHITE),Asus,Intel Core i5-10210U processor (1.6GHz quad-core with Turbo Boost up to 4.2GHz and 6MB cache),8GB DDR4 (Ram slot not available ),512GB PCIe SSD ( NVMe SSD Slot available),14” LED-backlit Full HD (1920 x 1080) 16:9 Frameless NanoEdge display with 85% screen-to-body ratio IPS-level wide-view technology,Not available,Not available,Not available,https://www.techlandbd.com/asus-vivobook-s14-s433fa-core-i5-laptop-dreamy-white
ASUS VivoBook S14 S433FA 14 inch Core i5 10th Gen 8GB RAM 512GB SSD LAPTOP (Indie Black),Asus,Intel Core i5-10210U processor (1.6GHz quad-core with Turbo Boost up to 4.2GHz and 6MB cache),8GB DDR4 (Ram slot not available ),512GB PCIe SSD ( NVMe SSD Slot available),14” LED-backlit Full HD (1920 x 1080) 16:9 Frameless NanoEdge display with 85% screen-to-body ratio IPS-level wide-view technology,Not available,Not available,Not available,https://www.techlandbd.com/asus-vivobook-s14-s433fa-core-i5-laptop-indie-black
ASUS VivoBook Flip 14 TM420UA 14 inch Full HD Multi-Touch Display Ryzen 7 5700U 8GB RAM 512GB SSD 2-in-1 Laptop,Asus,"AMD Ryzen 7 5700U Processor 1.8GHz (8M Cache, up to 4.3GHz, 8 cores)",8GB DDR4 memory,512GB M.2 NVMe PCIe 3.0 SSD,"14.0-inch,FHD (1920 x 1080) 16:9,IPS-level Panel,Glossy display,LED Backlit,250nits,NTSC: 45%,Screen-to-body ratio: 82 ％,Touch screen,With stylus support",Not available,Not available,Not available,https://www.techlandbd.com/asus-vivobook-flip-14-tm420ua-2-in-1-laptop
Asus Vivobook Pro 16X OLED M7600QE 4K OLED Display Ryzen 9 5900HX 32GB RAM 512GB SSD Gaming Laptop with 3050 Ti 4GB Graphics,Asus,"AMD Ryzen 9 5900HX Processor (8 Cores, 16 Threads, 3.3GHz up to 4.6GH)",32GB DDR4 RAM (On Board),512GBM.2 NVMe PCIe 3.0 SSD,"16.0-inch, 4K (3840 x 2400) OLED 16:10 aspect ratio, 0.2ms response time,",Not available,Not available,Not available,https://www.techlandbd.com/asus-vivobook-pro-16x-oled-m7600qe-ryzen-9-gaming-laptop
Chuwi UBook 11.6 inch Touch Screen 8GB RAM 256GB SSD 2 in 1 Tablet & Notebook,Chuwi,"Intel Celeron Processor N4100 (4M Cache, 1.10 GHz up to 2.40 GHz)",8GB DDR4 RAM,256GB SSD,"11.6”, (1920 x 1200) IPS sRGB,Capacitive multi-touch Display",Not available,Not available,Not available,https://www.techlandbd.com/chuwi-ubook-2-in-1-tablet-and-notebook
Asus ZenBook Duo UX481FA 14 inch Core i5 10th Gen 8GB RAM 512GB SSD Backlit Keyboard IR Camera 4K OLED Dual Display Laptop,Asus,Intel Core I5-10210U Processor,8GB 2133MHz LPDDR3,512GB PCIe Gen3 X2,5.6” OLED 4K (3840 X 2160) 16:9 Touchscreen,Not available,Not available,Not available,https://www.techlandbd.com/asus-zenbook-pro-duo-ux481fa-i5-laptop
